订单号,产品类别,产品名称,销售数量,单价,销售额
5821415588,服装,外套,7,599,4193
6844451852,家居用品,香薰,9,99,891
5846696675,食品,海苔,6,29,174
6867806084,图书,练习册,8,39,312
6817227232,图书,杂志,5,29,145
6822893777,电子产品,智能音箱,10,399,3990
5887727265,电子产品,钢化膜,5,39,195
5801089717,电子产品,鼠标,7,89,623
6895808010,服装,衬衫,3,299,897
6872246606,电子产品,摄像头,9,399,3591
6841206026,图书,小说,4,49,196
6863133863,电子产品,存储卡,1,129,129
5854106657,电子产品,钢化膜,1,39,39
5869178747,图书,画册,5,99,495
5888874619,食品,方便面,4,49,196
5866081655,家居用品,纸巾,5,39,195
6850905506,服装,手套,9,59,531
5859112208,服装,牛仔裤,1,399,399
5828719418,家居用品,洗洁精,8,29,232
5869332601,图书,食谱,4,49,196
5859035831,家居用品,床垫,2,5999,11998
5808617495,家居用品,洗洁精,3,29,87
6863194415,食品,巧克力,2,59,118
6858664561,食品,巧克力,4,59,236
5828907247,食品,薯片,4,19,76
6839152371,家居用品,蜡烛,3,49,147
5816241245,家居用品,地毯,6,299,1794
6868589344,电子产品,键盘,1,199,199
5873075759,服装,T恤,1,199,199
6825304212,电子产品,存储卡,9,129,1161
5885551427,服装,围巾,4,129,516
5878068551,食品,蜂蜜,1,89,89
5873037010,服装,运动裤,9,249,2241
6887007128,食品,方便面,3,49,147
6800690507,电子产品,平板电脑,6,2499,14994
6810414618,电子产品,平板电脑,8,2499,19992
6851484519,服装,袜子,8,29,232
6882409558,图书,字帖,7,29,203
6846834565,食品,蜂蜜,8,89,712
6843976436,电子产品,智能手表,5,899,4495
6827832411,服装,卫衣,6,349,2094
5829134832,服装,羽绒服,8,899,7192
5896329735,食品,牛奶,7,69,483
6876119129,服装,袜子,9,29,261
5861601703,服装,短裤,6,149,894
5800978577,食品,肉脯,1,69,69
5896718623,图书,传记,5,69,345
6804979734,图书,漫画,10,39,390
6808516843,食品,糖果,8,39,312
6850990188,家居用品,扫把,1,39,39
5818571545,家居用品,水杯,7,49,343
6873188858,食品,面包,2,29,58
6820766112,家居用品,洗洁精,8,29,232
5871137227,食品,巧克力,6,59,354
6829708798,服装,毛衣,10,399,3990
5898967503,图书,摄影集,7,129,903
6865362375,图书,诗集,2,49,98
5822439769,电子产品,鼠标,2,89,178
6850321380,食品,方便面,1,49,49
5877130074,电子产品,键盘,4,199,796
5808406713,家居用品,毛巾,7,49,343
6870742256,电子产品,智能手表,9,899,8091
6894941319,食品,牛奶,2,69,138
5837380979,食品,薯片,4,19,76
5845135733,服装,风衣,5,699,3495
6802509590,服装,休闲裤,10,299,2990
5857737355,服装,帽子,5,79,395
5817045287,图书,绘本,4,59,236
5835191671,图书,小说,8,49,392
6857397864,食品,酸奶,3,59,177
6832342752,服装,短裤,3,149,447
6881818665,食品,坚果,8,79,632
5817679803,家居用品,毛巾,7,49,343
5814764619,电子产品,手机壳,3,49,147
6834624594,图书,技术书籍,7,89,623
6813932695,图书,绘本,3,59,177
6833832071,服装,外套,1,599,599
5894846741,家居用品,洗衣液,2,49,98
6827335273,服装,风衣,7,699,4893
6814547758,家居用品,桌布,9,79,711
5818437264,服装,半身裙,4,299,1196
6876127023,家居用品,蜡烛,10,49,490
6819383488,食品,咖啡,8,129,1032
6824898650,服装,西装裤,7,449,3143
6866812257,图书,旅游指南,7,69,483
6822760381,电子产品,USB数据线,5,29,145
6855612798,家居用品,蜡烛,9,49,441
6832430460,家居用品,水杯,6,49,294
5844235853,图书,技术书籍,4,89,356
6851230423,图书,散文集,9,59,531
6857565171,家居用品,毛巾,2,49,98
5847770834,电子产品,USB数据线,1,29,29
6873634429,服装,围巾,9,129,1161
5832767756,服装,睡衣,5,199,995
5843292822,电子产品,摄像头,2,399,798
6821083023,家居用品,蜡烛,7,49,343
6891026316,家居用品,纸巾,7,39,273
6801790157,图书,漫画,5,39,195
5892600327,家居用品,扫把,1,39,39
5880271871,食品,薯片,4,19,76
5818218201,图书,绘本,10,59,590
6858846330,家居用品,衣架,1,39,39
5829660564,图书,小说,3,49,147
5896831836,食品,蜂蜜,4,89,356
6835336746,家居用品,窗帘,5,399,1995
5839508692,食品,方便面,8,49,392
6882057428,服装,卫衣,8,349,2792
6806158927,服装,半身裙,2,299,598
6862339896,服装,袜子,6,29,174
5892136984,家居用品,收纳盒,6,79,474
5835039492,电子产品,智能手机,7,2999,20993
5868754932,电子产品,平板电脑,5,2499,12495
6849483942,电子产品,摄像头,6,399,2394
5836504290,服装,手套,1,59,59
5822289941,图书,画册,1,99,99
5859159196,服装,短裤,3,149,447
5806281144,图书,画册,3,99,297
5804522125,食品,茶叶,4,199,796
6873216766,家居用品,毛巾,3,49,147
6862831115,图书,摄影集,1,129,129
6827507349,食品,方便面,1,49,49
6829037148,服装,手套,3,59,177
6896371812,服装,内衣,10,89,890
5861247566,服装,毛衣,2,399,798
6887445982,家居用品,桌布,7,79,553
6895751002,服装,牛仔裤,4,399,1596
5882112614,电子产品,笔记本电脑,9,5999,53991
6860643473,图书,小说,9,49,441
5881537257,图书,画册,6,99,594
6828830921,服装,袜子,2,29,58
5844362711,食品,零食大礼包,9,89,801
5852743923,服装,袜子,10,29,290
5886930931,食品,饼干,3,39,117
6834050047,食品,咖啡,8,129,1032
5881999270,食品,能量棒,9,49,441
5864688768,电子产品,智能手表,4,899,3596
6825750941,电子产品,U盘,7,59,413
5851464261,电子产品,麦克风,8,299,2392
6821911940,食品,牛奶,3,69,207
6899600259,图书,科普书,9,59,531
5895558484,家居用品,地毯,1,299,299
5884178864,电子产品,移动电源,2,149,298
5847846135,服装,羽绒服,1,899,899
6877703658,服装,短裤,4,149,596
6802466494,家居用品,窗帘,4,399,1596
5803735812,服装,卫衣,2,349,698
5842022688,电子产品,显示器,10,1299,12990
5829089680,电子产品,路由器,4,299,1196
5873751742,家居用品,床垫,2,5999,11998
6891557148,图书,旅游指南,3,69,207
6804195572,家居用品,窗帘,5,399,1995
6848247057,家居用品,水杯,1,49,49
5821766973,电子产品,路由器,2,299,598
6890989079,服装,围巾,9,129,1161
6899289416,电子产品,鼠标,2,89,178
5851022968,服装,休闲裤,1,299,299
5830886559,图书,科普书,4,59,236
6823554955,电子产品,蓝牙耳机,6,199,1194
6862448346,电子产品,平板电脑,1,2499,2499
5838769142,家居用品,收纳盒,6,79,474
5825541244,食品,茶叶,1,199,199
6801364987,家居用品,毛巾,2,49,98
6880545195,服装,半身裙,7,299,2093
5869018230,食品,果汁,5,39,195
5898482982,家居用品,收纳盒,9,79,711
5895161454,电子产品,摄像头,5,399,1995
6847424942,家居用品,垃圾桶,9,59,531
5879388874,服装,帽子,10,79,790
5864138154,电子产品,游戏手柄,10,249,2490
5848247967,图书,绘本,9,59,531
5889010874,服装,卫衣,1,349,349
5858336101,服装,毛衣,2,399,798
6816657166,图书,教材,10,79,790
5811290381,食品,方便面,3,49,147
6805587795,食品,咖啡,5,129,645
6832841492,图书,诗集,6,49,294
6835128354,食品,巧克力,7,59,413
5827187927,食品,坚果,2,79,158
5895898853,家居用品,收纳盒,7,79,553
5839594444,电子产品,移动电源,10,149,1490
5831672482,服装,卫衣,7,349,2443
6868786229,服装,衬衫,3,299,897
6819364658,食品,能量棒,1,49,49
5897559004,图书,历史书,2,89,178
5823878172,服装,羽绒服,3,899,2697
5808511315,图书,食谱,7,49,343
5824441799,服装,牛仔裤,10,399,3990
6801685156,家居用品,沙发,9,3999,35991
6816373891,图书,字典,2,99,198
6872144392,电子产品,鼠标,9,89,801
6830213263,服装,围巾,6,129,774
5845686917,食品,矿泉水,10,29,290
5870544176,家居用品,香薰,4,99,396
6876503692,电子产品,鼠标,8,89,712
6814146241,服装,睡衣,5,199,995
5837519568,电子产品,移动电源,4,149,596
5887140993,电子产品,鼠标,3,89,267
6815040566,家居用品,香薰,3,99,297
5830454883,服装,衬衫,8,299,2392
6841223185,家居用品,垃圾桶,1,59,59
6893665395,服装,西装裤,9,449,4041
6898563651,家居用品,扫把,4,39,156
6838816181,食品,海苔,3,29,87
6899012557,服装,西装裤,10,449,4490
5821456806,电子产品,麦克风,4,299,1196
5805265151,家居用品,衣架,3,39,117
5822910476,服装,短裤,3,149,447
6875144209,电子产品,U盘,2,59,118
5862381963,食品,巧克力,2,59,118
6838425633,家居用品,被子,3,399,1197
5823420148,电子产品,摄像头,10,399,3990
5815953258,食品,蜂蜜,1,89,89
5890411651,食品,茶叶,8,199,1592
5886347114,电子产品,存储卡,4,129,516
5808665373,图书,画册,1,99,99
5823746636,食品,矿泉水,1,29,29
5813388774,食品,饼干,8,39,312
5836793818,服装,睡衣,6,199,1194
6854656379,电子产品,U盘,8,59,472
6810431180,电子产品,游戏手柄,10,249,2490
6828928851,食品,矿泉水,9,29,261
5843842801,服装,内衣,9,89,801
5870615811,家居用品,毛巾,2,49,98
6883845774,家居用品,被子,3,399,1197
5854549562,家居用品,纸巾,5,39,195
5863247655,家居用品,枕头,10,199,1990
6859580477,食品,果汁,10,39,390
6840649197,家居用品,被子,1,399,399
6851255907,服装,围巾,9,129,1161
6890368843,食品,牛奶,9,69,621
6827864891,服装,运动裤,10,249,2490
5877260638,服装,卫衣,7,349,2443
5868549939,服装,休闲裤,5,299,1495
5898559914,图书,画册,7,99,693
6844507218,图书,杂志,1,29,29
5865877696,食品,牛奶,10,69,690
5842520913,图书,杂志,6,29,174
5837665363,食品,茶叶,2,199,398
6842226211,服装,袜子,8,29,232
5882101133,家居用品,纸巾,5,39,195
5804771350,服装,牛仔裤,6,399,2394
6865964423,家居用品,拖把,6,89,534
6853297300,电子产品,移动电源,6,149,894
6866289139,家居用品,垃圾桶,10,59,590
6893190517,图书,绘本,10,59,590
6827649901,食品,牛奶,3,69,207
6866178313,图书,杂志,3,29,87
5800711405,服装,羽绒服,10,899,8990
5835405260,食品,饼干,4,39,156
5820486804,服装,外套,8,599,4792
5801611195,图书,漫画,6,39,234
5843644546,家居用品,衣架,4,39,156
5804758861,家居用品,香薰,7,99,693
6829603383,图书,字典,8,99,792
6861767353,食品,果汁,6,39,234
6840652306,食品,牛奶,2,69,138
5811563987,服装,内衣,5,89,445
5877681820,食品,巧克力,9,59,531
5840695758,电子产品,鼠标,9,89,801
6876178268,家居用品,窗帘,1,399,399
6875099532,食品,果汁,1,39,39
5853993989,电子产品,智能音箱,4,399,1596
6873810446,电子产品,鼠标,5,89,445
5847996426,电子产品,移动电源,1,149,149
5860412339,服装,毛衣,7,399,2793
5844666211,食品,能量棒,10,49,490
5874662900,家居用品,纸巾,8,39,312
5848978716,家居用品,餐具套装,4,199,796
6801244969,服装,半身裙,8,299,2392
6893385891,图书,旅游指南,10,69,690
6814840827,图书,练习册,10,39,390
5841243581,图书,历史书,2,89,178
6848472509,食品,酸奶,1,59,59
6848495241,服装,袜子,7,29,203
6837249911,家居用品,香薰,3,99,297
5823687360,食品,茶叶,4,199,796
5843812598,电子产品,摄像头,8,399,3192
5867305556,食品,肉脯,3,69,207
6836237383,图书,教材,8,79,632
6805794666,家居用品,垃圾桶,3,59,177
5889897144,电子产品,路由器,5,299,1495
6835452753,食品,牛奶,2,69,138
5863520484,图书,教材,7,79,553
5855860680,食品,蜂蜜,7,89,623
5898796372,家居用品,收纳盒,10,79,790
5825695022,图书,科普书,9,59,531
6887103041,家居用品,餐具套装,5,199,995
6815308822,家居用品,拖把,5,89,445
6890836887,服装,短裤,8,149,1192
5807842750,服装,短裤,6,149,894
5862231814,服装,毛衣,6,399,2394
5877750266,图书,绘本,1,59,59
6869062683,电子产品,游戏手柄,1,249,249
6845708709,服装,衬衫,7,299,2093
6879395963,图书,散文集,4,59,236
6809488145,电子产品,移动电源,6,149,894
6881691632,家居用品,纸巾,10,39,390
5852186744,电子产品,蓝牙耳机,2,199,398
6870828210,服装,内衣,8,89,712
5860722276,服装,外套,6,599,3594
5887473055,图书,小说,10,49,490
5808511756,食品,坚果,2,79,158
5811169466,服装,围巾,4,129,516
6876456690,食品,果汁,7,39,273
6842608338,食品,蜂蜜,5,89,445
