订单号,产品类别,产品名称,销售数量,单价,客户所在城市,支付方式,订单日期
5872078187,家居用品,地毯,6,299,郑州,银行卡,2025-10-05
6891178336,服装,卫衣,7,349,南京,微信支付,2025-10-05
6822571575,食品,方便面,10,49,青岛,支付宝,2025-10-05
5867099128,服装,T恤,4,199,宁波,支付宝,2025-10-05
5896604578,电子产品,显示器,3,1299,厦门,微信支付,2025-10-05
6872487503,食品,糖果,7,39,南京,支付宝,2025-10-05
6839007967,电子产品,游戏手柄,2,249,苏州,支付宝,2025-10-06
6840236750,电子产品,蓝牙耳机,8,199,西安,支付宝,2025-10-06
6802945443,电子产品,蓝牙耳机,8,199,南京,支付宝,2025-10-06
6898670721,图书,教材,9,79,西安,支付宝,2025-10-06
5847618916,图书,杂志,2,29,昆明,银行卡,2025-10-06
6806527815,图书,漫画,7,39,天津,微信支付,2025-10-07
5824731046,图书,字典,7,99,杭州,银行卡,2025-10-07
6872418220,电子产品,无线耳机,8,299,广州,支付宝,2025-10-07
5806977869,电子产品,U盘,10,59,天津,银行卡,2025-10-07
5840421293,食品,茶叶,10,199,郑州,支付宝,2025-10-08
6872801893,食品,矿泉水,5,29,昆明,银行卡,2025-10-08
5802528062,图书,字帖,3,29,厦门,支付宝,2025-10-08
6876227672,食品,方便面,10,49,天津,支付宝,2025-10-08
5885401142,服装,半身裙,5,299,昆明,银行卡,2025-10-09
5895044513,食品,咖啡,10,129,昆明,银行卡,2025-10-11
6841526591,图书,绘本,2,59,福州,支付宝,2025-10-12
6863254178,服装,短裤,3,149,长沙,支付宝,2025-10-12
5882955991,家居用品,窗帘,3,399,深圳,银行卡,2025-10-12
5865741907,图书,旅游指南,1,69,福州,银行卡,2025-10-12
5855105517,电子产品,显示器,10,1299,昆明,支付宝,2025-10-12
6863601447,图书,散文集,9,59,天津,银行卡,2025-10-12
6838738461,家居用品,被子,5,399,成都,微信支付,2025-10-13
6844659317,服装,卫衣,4,349,天津,支付宝,2025-10-13
6843198618,电子产品,鼠标,7,89,合肥,银行卡,2025-10-13
5875089905,食品,酸奶,3,59,郑州,银行卡,2025-10-14
5892891438,食品,麦片,5,49,天津,支付宝,2025-10-14
6857291518,图书,小说,4,49,合肥,微信支付,2025-10-14
5884008670,家居用品,纸巾,4,39,厦门,支付宝,2025-10-14
5896002331,家居用品,扫把,3,39,成都,微信支付,2025-10-14
5820470251,电子产品,移动电源,9,149,重庆,支付宝,2025-10-15
5868709921,家居用品,垃圾桶,4,59,成都,支付宝,2025-10-15
5852431984,服装,毛衣,5,399,上海,微信支付,2025-10-15
5880473515,食品,果汁,10,39,宁波,银行卡,2025-10-15
5882782224,电子产品,移动电源,2,149,天津,银行卡,2025-10-16
6813066646,服装,牛仔裤,5,399,合肥,银行卡,2025-10-17
6813337181,电子产品,钢化膜,8,39,杭州,支付宝,2025-10-17
6831458765,家居用品,餐具套装,10,199,福州,支付宝,2025-10-17
5830301956,服装,风衣,10,699,苏州,支付宝,2025-10-18
5882153266,图书,旅游指南,4,69,南京,支付宝,2025-10-18
6800227885,食品,蜂蜜,4,89,杭州,微信支付,2025-10-18
6894029987,家居用品,被子,3,399,合肥,支付宝,2025-10-18
5804582694,食品,牛奶,8,69,厦门,银行卡,2025-10-18
6840232962,电子产品,鼠标,1,89,上海,微信支付,2025-10-19
6866027788,电子产品,存储卡,5,129,苏州,支付宝,2025-10-19
5834427738,电子产品,移动电源,9,149,昆明,支付宝,2025-10-19
5835526709,电子产品,蓝牙耳机,4,199,苏州,银行卡,2025-10-19
5884284208,家居用品,水杯,10,49,苏州,支付宝,2025-10-19
6832768716,服装,羽绒服,6,899,杭州,微信支付,2025-10-20
6842853053,图书,技术书籍,9,89,昆明,银行卡,2025-10-20
6897454715,食品,面包,5,29,重庆,支付宝,2025-10-20
6827164431,电子产品,平板电脑,1,2499,广州,支付宝,2025-10-21
5815751088,图书,历史书,5,89,宁波,微信支付,2025-10-21
5815880810,家居用品,餐具套装,7,199,郑州,微信支付,2025-10-21
5861615084,食品,海苔,7,29,宁波,支付宝,2025-10-21
6887791768,食品,零食大礼包,7,89,重庆,微信支付,2025-10-22
5886204084,图书,杂志,10,29,成都,支付宝,2025-10-22
6884777373,家居用品,纸巾,3,39,长沙,银行卡,2025-10-22
6863381286,电子产品,蓝牙耳机,1,199,成都,微信支付,2025-10-24
5887739453,家居用品,纸巾,9,39,上海,支付宝,2025-10-24
6890965783,电子产品,平板电脑,2,2499,上海,支付宝,2025-10-24
6892626445,电子产品,智能音箱,4,399,合肥,微信支付,2025-10-25
6887669254,食品,果汁,9,39,天津,支付宝,2025-10-25
6866905032,图书,散文集,2,59,昆明,微信支付,2025-10-26
6853937760,家居用品,纸巾,3,39,重庆,支付宝,2025-10-27
5894832158,电子产品,显示器,6,1299,重庆,银行卡,2025-10-27
5842135545,电子产品,摄像头,10,399,郑州,支付宝,2025-10-27
5867273365,图书,笔记本,8,49,长沙,银行卡,2025-10-27
6808557550,家居用品,扫把,5,39,青岛,银行卡,2025-10-28
6854016886,图书,字典,7,99,天津,支付宝,2025-10-28
6809133332,家居用品,毛巾,2,49,长沙,支付宝,2025-10-28
5801866775,图书,杂志,10,29,西安,支付宝,2025-10-28
6840379790,家居用品,沙发,1,3999,广州,微信支付,2025-10-28
6866986049,家居用品,拖把,7,89,宁波,支付宝,2025-10-29
6859861779,服装,内衣,3,89,昆明,微信支付,2025-10-29
5894965586,图书,字典,6,99,上海,微信支付,2025-10-29
6806335545,服装,毛衣,8,399,福州,支付宝,2025-10-29
6881891349,图书,字帖,6,29,重庆,银行卡,2025-10-29
6891182351,食品,麦片,6,49,宁波,支付宝,2025-10-30
5845098538,图书,科普书,2,59,昆明,银行卡,2025-10-31
5828097577,图书,诗集,5,49,天津,微信支付,2025-10-31
6883322103,电子产品,智能手机,2,2999,青岛,支付宝,2025-11-01
6881473885,服装,风衣,6,699,北京,支付宝,2025-11-01
6806891687,图书,杂志,10,29,宁波,支付宝,2025-11-01
5892304397,服装,睡衣,3,199,昆明,微信支付,2025-11-01
5861191726,电子产品,存储卡,6,129,深圳,支付宝,2025-11-01
6882602989,电子产品,蓝牙耳机,1,199,南京,银行卡,2025-11-02
5864988754,图书,练习册,6,39,西安,支付宝,2025-11-02
5849276226,图书,散文集,10,59,成都,支付宝,2025-11-02
6892560636,图书,技术书籍,9,89,广州,支付宝,2025-11-03
5807367507,食品,酸奶,2,59,上海,支付宝,2025-11-03
5867814367,家居用品,窗帘,8,399,长沙,支付宝,2025-11-03
5870995622,食品,果汁,3,39,广州,支付宝,2025-11-03
5855966379,图书,教材,8,79,青岛,银行卡,2025-11-03
6800723302,服装,连衣裙,4,499,苏州,银行卡,2025-11-04
6891777100,家居用品,桌布,10,79,西安,支付宝,2025-11-04
6816306405,图书,传记,5,69,重庆,银行卡,2025-11-04
5827669048,食品,麦片,6,49,南京,支付宝,2025-11-04
6897769026,家居用品,蜡烛,5,49,长沙,银行卡,2025-11-04
5817732497,图书,漫画,7,39,宁波,银行卡,2025-11-05
5833987419,家居用品,收纳盒,5,79,重庆,支付宝,2025-11-05
6853120008,家居用品,洗洁精,8,29,合肥,支付宝,2025-11-05
5862354667,服装,休闲裤,9,299,天津,银行卡,2025-11-05
6890940588,服装,羽绒服,6,899,宁波,支付宝,2025-11-05
6861660624,家居用品,窗帘,1,399,西安,微信支付,2025-11-05
6838179745,家居用品,拖把,1,89,天津,银行卡,2025-11-05
6891238924,电子产品,鼠标,5,89,深圳,银行卡,2025-11-06
6824998019,服装,衬衫,6,299,广州,微信支付,2025-11-06
6864257240,家居用品,香薰,6,99,郑州,支付宝,2025-11-07
5801461172,食品,海苔,2,29,青岛,支付宝,2025-11-07
5888544474,食品,糖果,3,39,广州,微信支付,2025-11-07
6801976869,家居用品,衣架,5,39,长沙,支付宝,2025-11-07
6850224620,服装,卫衣,4,349,郑州,银行卡,2025-11-08
5822076434,图书,字帖,8,29,杭州,微信支付,2025-11-08
6846010084,图书,教材,8,79,福州,微信支付,2025-11-08
6801680556,服装,内衣,4,89,重庆,银行卡,2025-11-08
5828868579,图书,教材,5,79,南京,微信支付,2025-11-08
5847381957,服装,毛衣,5,399,天津,支付宝,2025-11-08
6806513781,电子产品,智能手机,6,2999,深圳,支付宝,2025-11-11
5811618408,家居用品,香薰,3,99,宁波,银行卡,2025-11-11
6832194328,服装,袜子,4,29,上海,支付宝,2025-11-12
6859510952,食品,酸奶,1,59,福州,支付宝,2025-11-12
6843273729,食品,果汁,1,39,成都,微信支付,2025-11-12
6875695055,家居用品,枕头,6,199,郑州,银行卡,2025-11-12
6856749011,图书,摄影集,9,129,武汉,微信支付,2025-11-12
6832890365,电子产品,键盘,5,199,北京,支付宝,2025-11-13
5876901338,服装,短裤,6,149,苏州,微信支付,2025-11-13
6877576069,电子产品,鼠标,3,89,昆明,微信支付,2025-11-13
6837012064,电子产品,麦克风,8,299,郑州,微信支付,2025-11-13
6832462828,家居用品,床垫,8,5999,重庆,支付宝,2025-11-13
6823002682,服装,牛仔裤,9,399,重庆,支付宝,2025-11-14
6814348900,食品,牛奶,2,69,杭州,支付宝,2025-11-14
6835195484,食品,坚果,1,79,郑州,支付宝,2025-11-14
6815808186,食品,坚果,10,79,深圳,银行卡,2025-11-14
5844391565,电子产品,笔记本电脑,4,5999,成都,支付宝,2025-11-15
5804478084,服装,帽子,1,79,西安,银行卡,2025-11-15
6849795609,家居用品,洗衣液,10,49,苏州,银行卡,2025-11-15
5844858451,图书,杂志,7,29,郑州,微信支付,2025-11-15
6890733017,食品,蜂蜜,5,89,重庆,支付宝,2025-11-16
6886647361,服装,围巾,7,129,北京,银行卡,2025-11-16
6873098065,图书,字典,4,99,南京,微信支付,2025-11-17
6805300350,服装,手套,10,59,天津,支付宝,2025-11-17
5896909421,电子产品,U盘,3,59,重庆,银行卡,2025-11-17
6875501192,电子产品,智能手机,2,2999,北京,支付宝,2025-11-17
6810309738,服装,运动裤,9,249,成都,支付宝,2025-11-17
5898664211,电子产品,智能手表,4,899,苏州,微信支付,2025-11-17
5830188414,家居用品,蜡烛,3,49,上海,支付宝,2025-11-17
5899959087,服装,衬衫,5,299,重庆,微信支付,2025-11-18
6878127702,图书,杂志,9,29,杭州,支付宝,2025-11-18
6897885032,电子产品,无线耳机,9,299,青岛,支付宝,2025-11-18
6806871595,电子产品,存储卡,8,129,福州,支付宝,2025-11-18
5823245607,电子产品,智能手机,10,2999,福州,微信支付,2025-11-18
5890932573,服装,卫衣,1,349,深圳,支付宝,2025-11-19
5895640912,服装,运动裤,8,249,西安,银行卡,2025-11-19
6869496866,图书,散文集,7,59,杭州,微信支付,2025-11-20
5809036074,家居用品,餐具套装,10,199,深圳,银行卡,2025-11-20
6818144493,图书,教材,6,79,宁波,微信支付,2025-11-20
6803788836,电子产品,平板电脑,8,2499,成都,支付宝,2025-11-21
6896014783,家居用品,拖把,6,89,武汉,微信支付,2025-11-21
5841540012,家居用品,纸巾,8,39,北京,微信支付,2025-11-22
5824508069,食品,面包,7,29,郑州,银行卡,2025-11-23
6840013941,食品,薯片,10,19,青岛,微信支付,2025-11-23
6826088251,电子产品,无线耳机,8,299,北京,微信支付,2025-11-24
6805424379,食品,蜂蜜,2,89,昆明,支付宝,2025-11-24
5862509425,图书,字帖,8,29,福州,支付宝,2025-11-24
5826573371,电子产品,摄像头,9,399,成都,银行卡,2025-11-25
5857034560,食品,蜂蜜,8,89,宁波,银行卡,2025-11-25
5807851172,电子产品,麦克风,2,299,南京,微信支付,2025-11-25
5828539930,电子产品,鼠标,8,89,长沙,微信支付,2025-11-26
5860501038,图书,画册,6,99,宁波,银行卡,2025-11-26
5851751960,服装,外套,10,599,长沙,银行卡,2025-11-26
6874705582,电子产品,游戏手柄,6,249,青岛,支付宝,2025-11-26
6867148266,电子产品,智能手表,5,899,武汉,支付宝,2025-11-26
6812908302,电子产品,钢化膜,2,39,南京,银行卡,2025-11-26
6858647814,家居用品,垃圾桶,4,59,武汉,支付宝,2025-11-26
5852762650,家居用品,垃圾桶,8,59,南京,银行卡,2025-11-27
5883680493,电子产品,路由器,3,299,南京,银行卡,2025-11-27
6838249011,食品,牛奶,5,69,郑州,微信支付,2025-11-27
5878898156,图书,历史书,4,89,深圳,微信支付,2025-11-27
6888122019,食品,薯片,9,19,重庆,支付宝,2025-11-28
5814374624,服装,帽子,6,79,西安,支付宝,2025-11-28
5871964525,家居用品,地毯,8,299,郑州,银行卡,2025-11-28
6811426830,食品,果干,9,59,苏州,微信支付,2025-11-28
5808385307,服装,围巾,3,129,郑州,支付宝,2025-11-28
5826023717,食品,方便面,10,49,合肥,微信支付,2025-11-29
5816772570,家居用品,拖把,8,89,杭州,支付宝,2025-11-29
5854153656,电子产品,手机壳,6,49,苏州,微信支付,2025-11-29
5851946844,服装,西装裤,2,449,广州,支付宝,2025-11-29
5822746557,服装,休闲裤,10,299,上海,银行卡,2025-11-30
5807892827,电子产品,平板电脑,4,2499,郑州,支付宝,2025-11-30
5852463155,服装,西装裤,3,449,昆明,银行卡,2025-11-30
5801601835,食品,坚果,4,79,杭州,支付宝,2025-11-30
5889896262,图书,小说,6,49,苏州,银行卡,2025-11-30
5805561986,食品,麦片,7,49,郑州,微信支付,2025-12-01
6885659604,服装,牛仔裤,3,399,宁波,银行卡,2025-12-01
6814787700,食品,酸奶,2,59,南京,支付宝,2025-12-01
5870957778,电子产品,移动电源,10,149,郑州,支付宝,2025-12-01
6885600362,家居用品,蜡烛,4,49,长沙,支付宝,2025-12-01
6826401287,食品,果汁,1,39,福州,支付宝,2025-12-02
5849796164,图书,画册,2,99,青岛,银行卡,2025-12-03
5826568588,电子产品,蓝牙耳机,3,199,成都,微信支付,2025-12-04
5879927641,家居用品,桌布,10,79,苏州,微信支付,2025-12-04
5832744311,电子产品,麦克风,10,299,北京,支付宝,2025-12-04
6876391705,图书,散文集,4,59,郑州,支付宝,2025-12-05
6800844618,服装,半身裙,2,299,苏州,支付宝,2025-12-05
6881159219,食品,零食大礼包,9,89,青岛,支付宝,2025-12-05
6838456073,食品,能量棒,3,49,西安,支付宝,2025-12-05
5864594558,家居用品,桌布,10,79,昆明,微信支付,2025-12-05
6852775012,图书,杂志,4,29,昆明,支付宝,2025-12-05
6855446779,图书,摄影集,4,129,昆明,银行卡,2025-12-05
5894349267,家居用品,毛巾,3,49,杭州,支付宝,2025-12-05
6866695716,电子产品,智能手表,3,899,重庆,银行卡,2025-12-06
6847293466,家居用品,纸巾,3,39,昆明,支付宝,2025-12-06
5817801181,服装,外套,7,599,昆明,微信支付,2025-12-06
6889428015,电子产品,蓝牙耳机,2,199,郑州,支付宝,2025-12-06
6807642574,电子产品,钢化膜,8,39,福州,支付宝,2025-12-07
5811434910,家居用品,沙发,6,3999,上海,支付宝,2025-12-07
6854598751,图书,画册,6,99,苏州,支付宝,2025-12-08
5830150947,家居用品,毛巾,8,49,厦门,支付宝,2025-12-08
6882465065,食品,咖啡,8,129,杭州,支付宝,2025-12-09
5862422953,电子产品,鼠标,9,89,长沙,支付宝,2025-12-09
5894722975,服装,西装裤,3,449,杭州,支付宝,2025-12-09
6886473200,图书,历史书,9,89,北京,支付宝,2025-12-09
6800132162,食品,巧克力,7,59,南京,支付宝,2025-12-09
6836203669,图书,日历,9,39,深圳,支付宝,2025-12-10
6803419672,服装,手套,9,59,合肥,银行卡,2025-12-10
5814142320,家居用品,床垫,5,5999,天津,银行卡,2025-12-10
5851506066,图书,杂志,10,29,天津,银行卡,2025-12-10
6812985395,电子产品,无线耳机,9,299,上海,支付宝,2025-12-10
5815712701,电子产品,键盘,1,199,福州,微信支付,2025-12-11
6824531780,食品,酸奶,2,59,武汉,支付宝,2025-12-11
5858811924,图书,日历,5,39,厦门,支付宝,2025-12-11
5850897157,电子产品,智能音箱,4,399,重庆,微信支付,2025-12-12
5815438838,电子产品,存储卡,4,129,青岛,微信支付,2025-12-12
6823915070,家居用品,地毯,10,299,天津,支付宝,2025-12-13
5820099845,食品,面包,8,29,青岛,微信支付,2025-12-13
5894543795,食品,蜂蜜,2,89,深圳,微信支付,2025-12-13
6877207718,服装,睡衣,10,199,郑州,支付宝,2025-12-13
5862179782,家居用品,餐具套装,2,199,重庆,支付宝,2025-12-14
6889148565,服装,运动裤,5,249,福州,支付宝,2025-12-14
6890554963,食品,果汁,9,39,南京,微信支付,2025-12-14
5838827496,食品,矿泉水,8,29,昆明,支付宝,2025-12-15
6803694241,家居用品,垃圾桶,4,59,成都,支付宝,2025-12-15
6823654398,电子产品,存储卡,10,129,福州,微信支付,2025-12-15
5859871850,电子产品,蓝牙耳机,4,199,青岛,微信支付,2025-12-15
5850370760,图书,散文集,2,59,郑州,银行卡,2025-12-15
5822687175,图书,笔记本,4,49,昆明,银行卡,2025-12-16
6814230611,电子产品,路由器,3,299,杭州,微信支付,2025-12-16
6877366996,家居用品,蜡烛,9,49,深圳,支付宝,2025-12-16
6846830553,电子产品,显示器,10,1299,宁波,支付宝,2025-12-16
5898811822,服装,衬衫,7,299,深圳,微信支付,2025-12-17
5886347849,电子产品,蓝牙耳机,4,199,北京,支付宝,2025-12-17
5849910718,图书,历史书,4,89,南京,银行卡,2025-12-17
6893362512,电子产品,手机壳,3,49,宁波,银行卡,2025-12-17
6858202357,食品,海苔,1,29,苏州,支付宝,2025-12-17
5837476569,服装,运动裤,4,249,青岛,银行卡,2025-12-18
5818560820,服装,连衣裙,1,499,宁波,支付宝,2025-12-18
6825197576,电子产品,钢化膜,9,39,青岛,支付宝,2025-12-19
5871798116,图书,历史书,8,89,西安,银行卡,2025-12-20
6835869538,电子产品,手机壳,10,49,西安,银行卡,2025-12-20
5815613269,电子产品,智能手机,6,2999,宁波,支付宝,2025-12-20
6850534255,家居用品,地毯,9,299,福州,支付宝,2025-12-20
6841822560,家居用品,洗衣液,9,49,长沙,支付宝,2025-12-20
6865550546,服装,牛仔裤,7,399,苏州,银行卡,2025-12-20
6833307089,图书,小说,10,49,成都,微信支付,2025-12-20
6837234220,服装,衬衫,9,299,宁波,微信支付,2025-12-21
5889119247,食品,酸奶,7,59,广州,支付宝,2025-12-21
5806207649,电子产品,路由器,7,299,福州,支付宝,2025-12-21
5858127300,服装,毛衣,10,399,广州,支付宝,2025-12-22
5884386495,图书,摄影集,3,129,天津,支付宝,2025-12-22
6893767116,食品,肉脯,5,69,长沙,支付宝,2025-12-22
5821415588,服装,外套,7,599,宁波,支付宝,2025-12-22
6844451852,家居用品,香薰,9,99,广州,支付宝,2025-12-23
5846696675,食品,海苔,6,29,武汉,微信支付,2025-12-23
6867806084,图书,练习册,8,39,西安,微信支付,2025-12-25
6817227232,图书,杂志,5,29,广州,银行卡,2025-12-25
6822893777,电子产品,智能音箱,10,399,昆明,银行卡,2025-12-25
5887727265,电子产品,钢化膜,5,39,宁波,银行卡,2025-12-25
5801089717,电子产品,鼠标,7,89,重庆,银行卡,2025-12-26
6895808010,服装,衬衫,3,299,天津,支付宝,2025-12-27
6872246606,电子产品,摄像头,9,399,昆明,支付宝,2025-12-27
6841206026,图书,小说,4,49,广州,支付宝,2025-12-27
6863133863,电子产品,存储卡,1,129,苏州,微信支付,2025-12-27
5854106657,电子产品,钢化膜,1,39,厦门,微信支付,2025-12-28
5869178747,图书,画册,5,99,长沙,银行卡,2025-12-28
5888874619,食品,方便面,4,49,深圳,银行卡,2025-12-28
5866081655,家居用品,纸巾,5,39,深圳,银行卡,2025-12-28
6850905506,服装,手套,9,59,北京,支付宝,2025-12-28
5859112208,服装,牛仔裤,1,399,宁波,支付宝,2025-12-29
5828719418,家居用品,洗洁精,8,29,长沙,银行卡,2025-12-29
5869332601,图书,食谱,4,49,杭州,支付宝,2025-12-29
5859035831,家居用品,床垫,2,5999,昆明,银行卡,2025-12-29
5808617495,家居用品,洗洁精,3,29,西安,支付宝,2025-12-29
6863194415,食品,巧克力,2,59,广州,微信支付,2025-12-29
6858664561,食品,巧克力,4,59,厦门,银行卡,2025-12-29
5828907247,食品,薯片,4,19,成都,银行卡,2025-12-29
6839152371,家居用品,蜡烛,3,49,北京,支付宝,2025-12-30
5816241245,家居用品,地毯,6,299,合肥,银行卡,2025-12-31
6868589344,电子产品,键盘,1,199,杭州,支付宝,2025-12-31
5873075759,服装,T恤,1,199,青岛,支付宝,2025-12-31
6825304212,电子产品,存储卡,9,129,杭州,支付宝,2025-12-31
5885551427,服装,围巾,4,129,昆明,微信支付,2026-01-01
5878068551,食品,蜂蜜,1,89,长沙,支付宝,2026-01-01
5873037010,服装,运动裤,9,249,杭州,支付宝,2026-01-01
6887007128,食品,方便面,3,49,郑州,支付宝,2026-01-01
6800690507,电子产品,平板电脑,6,2499,厦门,银行卡,2026-01-02
6810414618,电子产品,平板电脑,8,2499,长沙,银行卡,2026-01-02
6851484519,服装,袜子,8,29,武汉,银行卡,2026-01-02
6882409558,图书,字帖,7,29,长沙,微信支付,2026-01-02
6846834565,食品,蜂蜜,8,89,厦门,支付宝,2026-01-02
6843976436,电子产品,智能手表,5,899,西安,银行卡,2026-01-02
6827832411,服装,卫衣,6,349,苏州,银行卡,2026-01-02
5829134832,服装,羽绒服,8,899,郑州,支付宝,2026-01-02
5896329735,食品,牛奶,7,69,郑州,微信支付,2026-01-03
6876119129,服装,袜子,9,29,苏州,支付宝,2026-01-03
5861601703,服装,短裤,6,149,合肥,支付宝,2026-01-03
5800978577,食品,肉脯,1,69,杭州,支付宝,2026-01-03
5896718623,图书,传记,5,69,长沙,银行卡,2026-01-03
6804979734,图书,漫画,10,39,重庆,微信支付,2026-01-03
6808516843,食品,糖果,8,39,郑州,支付宝,2026-01-04
6850990188,家居用品,扫把,1,39,南京,支付宝,2026-01-04
5818571545,家居用品,水杯,7,49,广州,支付宝,2026-01-04
6873188858,食品,面包,2,29,上海,微信支付,2026-01-05
6820766112,家居用品,洗洁精,8,29,厦门,银行卡,2026-01-05
5871137227,食品,巧克力,6,59,昆明,银行卡,2026-01-05
6829708798,服装,毛衣,10,399,重庆,支付宝,2026-01-06
5898967503,图书,摄影集,7,129,合肥,银行卡,2026-01-06
6865362375,图书,诗集,2,49,天津,银行卡,2026-01-07
5822439769,电子产品,鼠标,2,89,成都,支付宝,2026-01-07
6850321380,食品,方便面,1,49,长沙,支付宝,2026-01-08
5877130074,电子产品,键盘,4,199,苏州,微信支付,2026-01-08
5808406713,家居用品,毛巾,7,49,广州,银行卡,2026-01-08
6870742256,电子产品,智能手表,9,899,福州,微信支付,2026-01-08
6894941319,食品,牛奶,2,69,深圳,支付宝,2026-01-09
5837380979,食品,薯片,4,19,宁波,银行卡,2026-01-10
5845135733,服装,风衣,5,699,上海,支付宝,2026-01-10
6802509590,服装,休闲裤,10,299,天津,支付宝,2026-01-10
5857737355,服装,帽子,5,79,武汉,微信支付,2026-01-11
5817045287,图书,绘本,4,59,上海,支付宝,2026-01-11
5835191671,图书,小说,8,49,成都,微信支付,2026-01-12
6857397864,食品,酸奶,3,59,昆明,支付宝,2026-01-12
6832342752,服装,短裤,3,149,上海,银行卡,2026-01-12
6881818665,食品,坚果,8,79,南京,支付宝,2026-01-12
5817679803,家居用品,毛巾,7,49,厦门,支付宝,2026-01-12
5814764619,电子产品,手机壳,3,49,杭州,支付宝,2026-01-12
6834624594,图书,技术书籍,7,89,北京,支付宝,2026-01-13
6813932695,图书,绘本,3,59,合肥,微信支付,2026-01-13
6833832071,服装,外套,1,599,苏州,微信支付,2026-01-13
5894846741,家居用品,洗衣液,2,49,昆明,微信支付,2026-01-13
6827335273,服装,风衣,7,699,武汉,银行卡,2026-01-13
6814547758,家居用品,桌布,9,79,北京,银行卡,2026-01-13
5818437264,服装,半身裙,4,299,厦门,银行卡,2026-01-14
6876127023,家居用品,蜡烛,10,49,成都,微信支付,2026-01-14
6819383488,食品,咖啡,8,129,杭州,支付宝,2026-01-15
6824898650,服装,西装裤,7,449,长沙,支付宝,2026-01-15
6866812257,图书,旅游指南,7,69,深圳,支付宝,2026-01-15
6822760381,电子产品,USB数据线,5,29,青岛,微信支付,2026-01-15
6855612798,家居用品,蜡烛,9,49,宁波,微信支付,2026-01-15
6832430460,家居用品,水杯,6,49,深圳,支付宝,2026-01-16
5844235853,图书,技术书籍,4,89,北京,微信支付,2026-01-17
6851230423,图书,散文集,9,59,厦门,微信支付,2026-01-17
6857565171,家居用品,毛巾,2,49,苏州,支付宝,2026-01-18
5847770834,电子产品,USB数据线,1,29,武汉,银行卡,2026-01-19
6873634429,服装,围巾,9,129,南京,支付宝,2026-01-19
5832767756,服装,睡衣,5,199,福州,支付宝,2026-01-19
5843292822,电子产品,摄像头,2,399,广州,支付宝,2026-01-19
6821083023,家居用品,蜡烛,7,49,北京,微信支付,2026-01-20
6891026316,家居用品,纸巾,7,39,长沙,微信支付,2026-01-20
6801790157,图书,漫画,5,39,福州,微信支付,2026-01-20
5892600327,家居用品,扫把,1,39,昆明,支付宝,2026-01-20
5880271871,食品,薯片,4,19,厦门,支付宝,2026-01-21
5818218201,图书,绘本,10,59,南京,微信支付,2026-01-21
6858846330,家居用品,衣架,1,39,北京,微信支付,2026-01-21
5829660564,图书,小说,3,49,重庆,微信支付,2026-01-21
5896831836,食品,蜂蜜,4,89,长沙,支付宝,2026-01-22
6835336746,家居用品,窗帘,5,399,西安,银行卡,2026-01-22
5839508692,食品,方便面,8,49,北京,银行卡,2026-01-22
6882057428,服装,卫衣,8,349,合肥,支付宝,2026-01-22
6806158927,服装,半身裙,2,299,南京,支付宝,2026-01-23
6862339896,服装,袜子,6,29,西安,支付宝,2026-01-24
5892136984,家居用品,收纳盒,6,79,苏州,银行卡,2026-01-24
5835039492,电子产品,智能手机,7,2999,北京,银行卡,2026-01-24
5868754932,电子产品,平板电脑,5,2499,青岛,支付宝,2026-01-24
6849483942,电子产品,摄像头,6,399,宁波,微信支付,2026-01-24
5836504290,服装,手套,1,59,广州,微信支付,2026-01-25
5822289941,图书,画册,1,99,昆明,微信支付,2026-01-25
5859159196,服装,短裤,3,149,宁波,微信支付,2026-01-25
5806281144,图书,画册,3,99,南京,支付宝,2026-01-25
5804522125,食品,茶叶,4,199,合肥,微信支付,2026-01-25
6873216766,家居用品,毛巾,3,49,武汉,微信支付,2026-01-25
6862831115,图书,摄影集,1,129,广州,支付宝,2026-01-25
6827507349,食品,方便面,1,49,厦门,支付宝,2026-01-25
6829037148,服装,手套,3,59,福州,微信支付,2026-01-26
6896371812,服装,内衣,10,89,成都,支付宝,2026-01-26
5861247566,服装,毛衣,2,399,青岛,微信支付,2026-01-26
6887445982,家居用品,桌布,7,79,北京,支付宝,2026-01-26
6895751002,服装,牛仔裤,4,399,青岛,银行卡,2026-01-27
5882112614,电子产品,笔记本电脑,9,5999,福州,支付宝,2026-01-27
6860643473,图书,小说,9,49,昆明,支付宝,2026-01-27
5881537257,图书,画册,6,99,西安,银行卡,2026-01-27
6828830921,服装,袜子,2,29,武汉,银行卡,2026-01-28
5844362711,食品,零食大礼包,9,89,宁波,微信支付,2026-01-28
5852743923,服装,袜子,10,29,厦门,支付宝,2026-01-28
5886930931,食品,饼干,3,39,昆明,支付宝,2026-01-29
6834050047,食品,咖啡,8,129,深圳,银行卡,2026-01-30
5881999270,食品,能量棒,9,49,长沙,银行卡,2026-01-30
5864688768,电子产品,智能手表,4,899,西安,微信支付,2026-01-30
6825750941,电子产品,U盘,7,59,苏州,微信支付,2026-01-31
5851464261,电子产品,麦克风,8,299,广州,微信支付,2026-01-31
6821911940,食品,牛奶,3,69,深圳,银行卡,2026-01-31
6899600259,图书,科普书,9,59,北京,银行卡,2026-02-01
5895558484,家居用品,地毯,1,299,青岛,微信支付,2026-02-01
5884178864,电子产品,移动电源,2,149,重庆,银行卡,2026-02-01
5847846135,服装,羽绒服,1,899,北京,支付宝,2026-02-01
